"AuYong","Chinese"
"Bai","Chinese"
"Bao","Chinese"
"Bei","Chinese"
"Bui","Chinese"
"Cai","Chinese"
"Cen","Chinese"
"Chai","Chinese"
"Chan","Chinese"
"Chang","Chinese"
"Che","Chinese"
"Chen","Chinese"
"Cheung","Chinese"
"Chew","Chinese"
"Chin","Chinese"
"Chong","Chinese"
"Chu","Chinese"
"Cui","Chinese"
"Deng","Chinese"
"Ding","Chinese"
"Dou","Chinese"
"Duan","Chinese"
"Fan","Chinese"
"Fei","Chinese"
"Foong","Chinese"
"Fung","Chinese"
"Gauk","Chinese"
"Geng","Chinese"
"Gok","Chinese"
"Gong","Chinese"
"Guang","Chinese"
"Guo","Chinese"
"Han","Chinese"
"Hang","Chinese"
"Hew","Chinese"
"Hiu","Chinese"
"Hor","Chinese"
"Hsiao","Chinese"
"Huan","Chinese"
"Huang","Chinese"
"Huie","Chinese"
"Huo","Chinese"
"Jiang","Chinese"
"Jin","Chinese"
"Joe","Chinese"
"Kang","Chinese"
"Khoo","Chinese"
"Khu","Chinese"
"Koo","Chinese"
"Kwan","Chinese"
"Kwong","Chinese"
"Lai","Chinese"
"Lang","Chinese"
"Lau","Chinese"
"Lew","Chinese"
"Lian","Chinese"
"Lim","Chinese"
"Lin","Chinese"
"Liu","Chinese"
"Loh","Chinese"
"Loong","Chinese"
"Luo","Chinese"
"Mai","Chinese"
"Mak","Chinese"
"Mar","Chinese"
"Mei","Chinese"
"Miao","Chinese"
"Min","Chinese"
"Moy","Chinese"
"Mui","Chinese"
"Niu","Chinese"
"OuYang","Chinese"
"Pan","Chinese"
"Pang","Chinese"
"Peng","Chinese"
"Ping","Chinese"
"Qin","Chinese"
"Qiu","Chinese"
"Que","Chinese"
"Ran","Chinese"
"Rong","Chinese"
"Ruan","Chinese"
"Seah","Chinese"
"See ","Chinese"
"Seto","Chinese"
"Sha","Chinese"
"Shang","Chinese"
"Shao","Chinese"
"She","Chinese"
"Shen","Chinese"
"Shi","Chinese"
"Shu","Chinese"
"Shui","Chinese"
"Shum","Chinese"
"Siu","Chinese"
"Song","Chinese"
"Sun","Chinese"
"Sze ","Chinese"
"Tang","Chinese"
"Tao","Chinese"
"Teoh","Chinese"
"Thean","Chinese"
"Thien","Chinese"
"Tian","Chinese"
"Tow","Chinese"
"Tsang","Chinese"
"Tsen","Chinese"
"Tso","Chinese"
"Wan","Chinese"
"Wang","Chinese"
"Wen","Chinese"
"Weng","Chinese"
"Wong","Chinese"
"Woo","Chinese"
"Xiao","Chinese"
"Xie","Chinese"
"Xue","Chinese"
"Xun","Chinese"
"Yang","Chinese"
"Yao","Chinese"
"Yau","Chinese"
"Yee","Chinese"
"Yim","Chinese"
"Yin","Chinese"
"Yong","Chinese"
"You","Chinese"
"Zang","Chinese"
"Zeng","Chinese"
"Zhan","Chinese"
"Zhang","Chinese"
"Zhen","Chinese"
"Zheng","Chinese"
"Zhou","Chinese"
"Zhu","Chinese"
"Zong","Chinese"
"Zou","Chinese"
"Chi","Chinese"
"Chu","Chinese"
"Cuan","Chinese"
"Dan","Chinese"
"Feng","Chinese"
"Gai","Chinese"
"Gou","Chinese"
"Guan","Chinese"
"Guo","Chinese"
"Hong","Chinese"
"Huan","Chinese"
"Jian","Chinese"
"Jin","Chinese"
"Jiu","Chinese"
"Jue","Chinese"
"Kan","Chinese"
"Kuang","Chinese"
"Kui","Chinese"
"Liang","Chinese"
"Lu","Chinese"
"Man","Chinese"
"Nao","Chinese"
"Qiao","Chinese"
"Qing","Chinese"
"Rang","Chinese"
"Rui","Chinese"
"Shi","Chinese"
"Shuo","Chinese"
"Tai","Chinese"
"Wan","Chinese"
"Xian","Chinese"
"Xie","Chinese"
"Xing","Chinese"
"Xiong","Chinese"
"Yan","Chinese"
"Yin","Chinese"
"Yuan","Chinese"
"Yue","Chinese"
"Zha","Chinese"
"Zhai","Chinese"
"Zhi","Chinese"
"Zhuan","Chinese"
"Abraham","French"
"Adam","French"
"Allard","French"
"Archambault","French"
"Arthur","French"
"Augustin","French"
"Baudin","French"
"Beauchene","French"
"Beaumont","French"
"Belanger","French"
"Bellerose","French"
"Belrose","French"
"Beringer","French"
"Bernard","French"
"Bisset","French"
"Bissette","French"
"Blanc","French"
"Blanchet","French"
"Bonfils","French"
"Bonheur","French"
"Bonnaire","French"
"Bonnay","French"
"Bonnet","French"
"Borde","French"
"Bouchard","French"
"Boucher","French"
"Brodeur","French"
"Bureau","French"
"Cavey","French"
"Chaput","French"
"Charpentier","French"
"Charron","French"
"Chevalier","French"
"Chevrolet","French"
"Colbert","French"
"Comtois","French"
"Cote","French"
"Coupe","French"
"Cousineau","French"
"Couture","French"
"D'aramitz","French"
"Daviau","French"
"Deforest","French"
"Degarmo","French"
"De la fontaine","French"
"Deniau","French"
"Deniel","French"
"Denis","French"
"Deschamps","French"
"Descoteaux","French"
"Desrochers","French"
"Desrosiers","French"
"Duchamps","French"
"Dufort","French"
"Duguay","French"
"Dupond","French"
"Durand","French"
"Durant","French"
"Emile","French"
"Eustis","French"
"Fabre","French"
"Fabron","French"
"Faucheux","French"
"Faure","French"
"Favre","French"
"Favreau","French"
"Felix","French"
"Firmin","French"
"Forest","French"
"Forestier","French"
"Foss","French"
"Fournier","French"
"Gagne","French"
"Gagnier","French"
"Garcon","French"
"Gardinier","French"
"Geroux","French"
"Giles","French"
"Giroux","French"
"Glaisyer","French"
"Gosselin","French"
"Granger","French"
"Guillory","French"
"Hardy","French"
"Hebert","French"
"Herbert","French"
"Jacques","French"
"Janvier","French"
"Joubert","French"
"Labelle","French"
"Lachapelle","French"
"Lamar","French"
"Lane","French"
"Langlais","French"
"Lapointe","French"
"Larue","French"
"Lavigne","French"
"Lavoie","French"
"Lebeau","French"
"Leblanc","French"
"Leclerc","French"
"Lecuyer","French"
"Lefevre","French"
"Lefurgey","French"
"Lemaire","French"
"Lemieux","French"
"Leroy","French"
"Lesauvage","French"
"Leveque","French"
"Levesque","French"
"Lyon","French"
"Lyon","French"
"Marchand","French"
"Marie","French"
"Martel","French"
"Martel","French"
"Masson","French"
"Masson","French"
"Mercier","French"
"Merle","French"
"Michel","French"
"Monet","French"
"Montagne","French"
"Moreau","French"
"Mullins","French"
"Noel","French"
"Olivier","French"
"Page","French"
"Palomer","French"
"Pan","French"
"Paquet","French"
"Paquet","French"
"Paris","French"
"Parris","French"
"Patenaude","French"
"Paternoster","French"
"Pelletier","French"
"Perrault","French"
"Perrot","French"
"Petit","French"
"Pierre","French"
"Plamondon","French"
"Poingdestre","French"
"Poirier","French"
"Poulin","French"
"Proulx","French"
"Rey","French"
"Reyer","French"
"Richelieu","French"
"Robert","French"
"Rome","French"
"Romilly","French"
"Rousseau","French"
"Roux","French"
"Royer","French"
"Salomon","French"
"Samson","French"
"Samuel","French"
"Sarkozi","French"
"Sarkozy","French"
"Sault","French"
"Sauvage","French"
"Sauvageon","French"
"Sauvageot","French"
"Savatier","French"
"Segal","French"
"Severin","French"
"Simon","French"
"Soucy","French"
"St martin","French"
"Tailler","French"
"Tasse","French"
"Thibault","French"
"Thomas","French"
"Tolbert","French"
"Traver","French"
"Travers","French"
"Traverse","French"
"Tremblay","French"
"Tremble","French"
"Victors","French"
"Villeneuve","French"
"Vipond","French"
"Voclain","French"
